iter	Passed	Remaining
409	4414	6353
410	4427	6344
411	4435	6330
412	4445	6318
413	4461	6315
414	4470	6302
415	4491	6304
416	4501	6292
417	4510	6280
418	4518	6265
419	4532	6259
420	4548	6255
421	4562	6248
422	4576	6242
423	4590	6235
424	4600	6224
425	4609	6211
426	4622	6203
427	4632	6191
428	4642	6179
429	4654	6169
430	4674	6170
431	4681	6155
432	4690	6142
433	4700	6130
434	4709	6116
435	4718	6104
436	4735	6100
437	4746	6090
438	4759	6081
439	4768	6069
440	4778	6056
441	4794	6052
442	4817	6056
443	4830	6048
444	4838	6034
445	4852	6027
446	4861	6014
447	4879	6011
448	4891	6002
449	4934	6030
450	4949	6024
451	4965	6020
452	4996	6033
453	5042	6063
454	5071	6075
455	5106	6092
456	5130	6095
457	5156	6102
458	5199	6128
459	5225	6133
460	5257	6146
461	5288	6157
462	5313	6162
463	5338	6167
464	5362	6169
465	5384	6169
466	5397	6160
467	5417	6158
468	5443	6162
469	5462	6159
470	5484	6160
471	5500	6153
472	5534	6165
473	5554	6164
474	5568	6154
475	5584	6147
476	5594	6133
477	5606	6122
478	5616	6108
479	5631	6100
480	5643	6089
481	5655	6078
482	5664	6062
483	5671	6046
484	5679	6030
485	5685	6013
486	5692	5996
487	5709	5990
488	5724	5981
489	5732	5966
490	5742	5952
491	5753	5940
492	5761	5925
493	5772	5912
494	5781	5898
495	5802	5896
496	5815	5886
497	5826	5873
498	5837	5860
499	5844	5844
500	5857	5833
501	5867	5820
502	5883	5813
503	5903	5809
504	5918	5801
505	5931	5791
506	5943	5779
507	5954	5767
508	5969	5758
509	5988	5754
510	5997	5739
511	6023	5741
512	6070	5762
513	6104	5772
514	6133	5776
515	6146	5765
516	6155	5750
517	6174	5745
518	6187	5734
519	6197	5720
520	6213	5712
521	6228	5703
522	6239	5690
523	6256	5682
524	6273	5675
525	6290	5669
526	6307	5661
527	6322	5651
528	6333	5639
529	6352	5633
530	6369	5625
531	6380	5612
532	6390	5599
533	6400	5585
534	6410	5572
535	6420	5558
536	6430	5544
537	6439	5529
538	6448	5515
539	6463	5505
540	6469	5489
541	6479	5474
542	6488	5461
543	6496	5445
544	6505	5430
545	6514	5416
546	6521	5400
547	6531	5387
548	6543	5375
549	6563	5369
550	6574	5357
551	6588	5346
552	6595	5331
553	6605	5317
554	6615	5304
555	6630	5294
556	6640	5281
557	6652	5269
558	6663	5256
559	6675	5245
560	6692	5237
561	6711	5230
562	6720	5216
563	6728	5201
564	6734	5184
565	6743	5170
566	6748	5153
567	6755	5138
568	6761	5121
569	6767	5105
570	6773	5089
571	6784	5076
572	6789	5059
573	6797	5044
574	6803	5028
575	6811	5013
576	6817	4997
577	6826	4984
578	6834	4969
579	6843	4955
580	6854	4943
581	6861	4928
582	6870	4914
583	6879	4900
584	6889	4887
585	6904	4877
586	6910	4862
587	6925	4852
588	6941	4843
589	6950	4829
590	6956	4814
591	6966	4801
592	6977	4789
593	6986	4775
594	6995	4761
595	7006	4749
596	7021	4739
597	7038	4731
598	7085	4743
599	7110	4740
600	7128	4732
601	7149	4726
602	7179	4726
603	7227	4738
604	7262	4741
605	7278	4732
606	7309	4732
607	7330	4726
608	7356	4723
609	7376	4716
610	7404	4714
611	7439	4716
612	7463	4711
613	7481	4703
614	7510	4701
615	7520	4688
616	7533	4676
617	7542	4662
618	7564	4656
619	7583	4647
620	7618	4649
621	7632	4638
622	7644	4626
623	7656	4613
624	7677	4606
625	7690	4594
626	7744	4607
627	7788	4613
628	7845	4627
629	7871	4623
630	7888	4613
631	7911	4606
632	7924	4594
633	7936	4581
634	7950	4569
635	7973	4563
636	7982	4549
637	7997	4537
638	8008	4524
639	8023	4512
640	8052	4509
641	8064	4496
642	8074	4483
643	8086	4470
644	8111	4464
645	8127	4453
646	8136	4439
647	8148	4426
648	8160	4413
649	8177	4403
650	8200	4396
651	8215	4384
652	8225	4371
653	8242	4360
654	8265	4353
655	8278	4341
656	8355	4362
657	8374	4352
658	8390	4341
659	8452	4354
660	8472	4345
661	8491	4335
662	8513	4327
663	8573	4338
664	8604	4334
665	8632	4329
666	8664	4325
667	8734	4341
668	8752	4330
669	8764	4316
670	8800	4314
671	8810	4300
672	8820	4285
673	8831	4271
674	8847	4259
675	8862	4247
676	8872	4233
677	8884	4219
678	8897	4206
679	8913	4194
680	8943	4189
681	8956	4176
682	8970	4163
683	8994	4155
684	9004	4140
685	9013	4125
686	9023	4111
687	9031	4095
688	9040	4080
689	9049	4065
690	9058	4050
691	9066	4035
692	9073	4019
693	9081	4004
694	9089	3988
695	9096	3973
696	9103	3957
697	9111	3942
698	9118	3926
699	9127	3911
700	9135	3896
701	9143	3881
702	9150	3865
703	9157	3850
704	9164	3834
705	9171	3819
706	9178	3803
707	9185	3788
708	9194	3773
709	9202	3758
710	9208	3743
711	9217	3728
712	9225	3713
713	9235	3699
714	9245	3685
715	9253	3670
716	9262	3655
717	9270	3640
718	9277	3626
719	9286	3611
720	9297	3597
721	9305	3582
722	9313	3568
723	9322	3553
724	9329	3538
725	9340	3525
726	9358	3514
727	9377	3503
728	9392	3491
729	9401	3477
730	9411	3463
731	9421	3449
732	9428	3434
733	9437	3420
734	9446	3405
735	9454	3391
736	9463	3377
737	9475	3363
738	9483	3349
739	9494	3335
740	9503	3321
741	9512	3307
742	9522	3293
743	9530	3279
744	9540	3265
745	9548	3251
746	9558	3237
747	9567	3223
748	9600	3217
749	9617	3205
750	9625	3191
751	9636	3178
752	9647	3164
753	9661	3152
754	9676	3139
755	9686	3126
756	9698	3113
757	9712	3100
758	9725	3087
759	9734	3073
760	9743	3060
761	9754	3046
762	9769	3034
763	9776	3019
764	9784	3005
765	9800	2993
766	9820	2983
767	9830	2969
768	9838	2955
769	9846	2941
770	9855	2927
771	9860	2912
772	9870	2898
773	9876	2883
774	9885	2870
775	9896	2856
776	9904	2842
777	9912	2828
778	9918	2813
779	9927	2800
780	9933	2785
781	9944	2772
782	9954	2758
783	9961	2744
784	10004	2740
785	10026	2729
786	10039	2717
787	10055	2705
788	10076	2694
789	10086	2681
790	10099	2668
791	10108	2654
792	10117	2641
793	10126	2627
794	10135	2613
795	10151	2601
796	10162	2588
797	10177	2576
798	10199	2565
799	10213	2553
800	10224	2540
801	10241	2528
802	10254	2515
803	10274	2504
804	10285	2491
805	10295	2477
806	10307	2465
807	10316	2451
808	10330	2438
809	10341	2425
810	10351	2412
811	10365	2399
812	10375	2386
813	10384	2372
814	10395	2359
815	10405	2346
816	10413	2332
817	10422	2318
818	10431	2305
819	10454	2294
820	10470	2282
821	10481	2269
822	10495	2257
823	10511	2245
824	10520	2231
825	10529	2218
826	10542	2205
827	10555	2192
828	10564	2179
829	10572	2165
830	10579	2151
831	10586	2137
832	10593	2123
833	10601	2110
834	10610	2096
835	10619	2083
836	10630	2070
837	10638	2056
838	10647	2043
839	10655	2029
840	10663	2016
841	10671	2002
842	10678	1988
843	10684	1974
844	10691	1961
845	10699	1947
846	10706	1934
847	10713	1920
848	10720	1906
849	10727	1893
850	10733	1879
851	10739	1865
852	10746	1852
853	10754	1838
854	10761	1825
855	10770	1811
856	10777	1798
857	10785	1785
858	10792	1771
859	10800	1758
860	10807	1744
861	10814	1731
862	10821	1717
863	10829	1704
864	10838	1691
865	10846	1678
866	10857	1665
867	10871	1653
868	10883	1640
869	10895	1628
870	10907	1615
871	10911	1601
872	10918	1588
873	10923	1574
874	10930	1561
875	10935	1547
876	10941	1534
877	10947	1521
878	10951	1507
879	10962	1494
880	10968	1481
881	10976	1468
882	10981	1455
883	10988	1441
884	10995	1428
885	11005	1416
886	11011	1402
887	11020	1389
888	11032	1377
889	11037	1364
890	11048	1351
891	11054	1338
892	11062	1325
893	11072	1312
894	11080	1299
895	11087	1286
896	11094	1273
897	11101	1260
898	11107	1247
899	11115	1235
900	11121	1221
901	11128	1209
902	11133	1195
903	11140	1183
904	11146	1170
905	11151	1156
906	11157	1144
907	11167	1131
908	11173	1118
909	11182	1105
910	11188	1093
911	11199	1080
912	11204	1067
913	11212	1055
914	11218	1042
915	11226	1029
916	11232	1016
917	11242	1004
918	11253	991
919	11260	979
920	11271	966
921	11279	954
922	11288	941
923	11298	929
924	11308	916
925	11315	904
926	11324	891
927	11334	879
928	11342	866
929	11353	854
930	11363	842
931	11372	829
932	11381	817
933	11390	804
934	11398	792
935	11410	780
936	11420	767
937	11428	755
938	11439	743
939	11448	730
940	11458	718
941	11466	706
942	11474	693
943	11483	681
944	11492	668
945	11499	656
946	11506	643
947	11515	631
948	11525	619
949	11534	607
950	11545	594
951	11555	582
952	11562	570
953	11571	557
954	11578	545
955	11586	533
956	11596	521
957	11604	508
958	11612	496
959	11623	484
960	11632	472
961	11641	459
962	11654	447
963	11667	435
964	11674	423
965	11683	411
966	11693	399
967	11701	386
968	11711	374
969	11720	362
970	11728	350
971	11737	338
972	11743	325
973	11752	313
974	11761	301
975	11769	289
976	11780	277
977	11790	265
978	11797	253
979	11824	241
980	11837	229
981	11846	217
982	11854	205
983	11868	192
984	11878	180
985	11887	168
986	11897	156
987	11907	144
988	11916	132
989	11923	120
990	11931	108
991	11938	96
992	11945	84
993	11952	72
994	11959	60
995	11968	48
996	11977	36
997	11984	24
998	11993	12
999	12003	0
